Product_title,Product_image,Packsize,Price,Price per unit
Farmdale Evaporated Milk 384ml/385ml,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN3662_1x1_SSV-NOV-B1_228x628_17_f9bd7df289.jpg,384ml,99c,$2.58 - $2.57 per litre
Farmdale Condensed Milk 397g,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_18_ba22fcee3d.jpg,397g,99c,25c per 100g
Deli Originals Fresh Topped Hommus 200g – Assorted Varieties,https://www.aldi.com.au/fileadmin/_processed_/8/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_19_5d8be2bb8f.jpg,ea,$1.99,$1.00 per 100g
Deli Originals Fresh Multipack Hommus 3 x 65g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_ALN3662_1x1_SSV-NOV-B1_228x628_20_7e30a770b7.jpg,3pk,$1.49,76c per 100g
Snackers Market Dip and Crackers 65g – Hommus or Beetroot Hommus,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_ALN3662_1x1_SSV-NOV-B1_228x628_21_775151a48e.jpg,ea,99c,$1.52 per 100g
Emporium Selection Bocconcini 200g,https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_ALN3662_1x1_SSV-NOV-B1_228x628_22_e2dfce5ace.jpg,200g,$2.99,$14.95 per kg
Pick’d Orange Juice With Pulp 2L,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_23_b5f2e37304.jpg,2L,$3.99,$2.00 per litre
Pick’d Fruitism Fruit Smoothie 1L – Assorted,https://www.aldi.com.au/fileadmin/_processed_/1/c/csm_ALN3662_1x1_SSV-NOV-B1_228x628_24_5913839e1d.jpg,ea,$3.49,$3.49 per litre
Essential Health Electrolytes 20pk,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg,20pk,$5.49,27c per tablet
Essential Health First Aid Strips Plastic 100pk or Fabric 50pk,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_33_651ac07fad.jpg,ea,$1.99,2c-4c per strip
Essential Health Meal Replacement Shake 55g,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg,ea,$1.99,$3.62 per 100g
Essential Health Protein Bar 30g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg,ea,$1.49,$4.97 per 100g
Onset Chocolate Protein Bars 51g-57g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2853_HEALTH_1x1_228x128_3_2bdeaaea03.jpg,51g-57g,$2.99,$5.86-$5.25 per 100g
